gl_id,entry_date,account,amount_str,reference
GL-BATCH0001-SR,2026-08-08,Sales/Online,14696.21,BATCH0001
GL-BATCH0001-FEE,2026-08-08,Payment Gateway Fee,INR -293.93,BATCH0001
GL-BATCH0001-GST,2026-08-08,GST on Fees (Input Credit),-52.91,BATCH0001
GL-BATCH0002-SR,2026-08-10,SALES-ONLINE,"₹ 38,886.67",BATCH0002
GL-BATCH0002-FEE,2026-08-10,Razorpay Fees,₹-777.74,BATCH0002
GL-BATCH0002-GST,2026-08-10,GST-INPUT,-139.99,BATCH0002
GL-BATCH0003-SR,2026-08-06,Sales/Online,57867.32,BATCH0003
GL-BATCH0003-FEE,2026-08-06,RAZORPAY-FEE,"INR -1,157.35",BATCH0003
GL-BATCH0003-GST,2026-08-06,GST on Fees (Input Credit),INR -208.32,BATCH0003
GL-BATCH0004-SR,2026-08-09,SALES-ONLINE,"INR 49,188.64",BATCH0004
GL-BATCH0004-FEE,2026-08-09,RAZORPAY-FEE,-983.77,BATCH0004
GL-BATCH0004-GST,2026-08-09,Input GST/Fees,INR -177.08,BATCH0004
GL-BATCH0005-SR,2026-08-03,Revenue - Sales,"₹35,580.09",BATCH0005
GL-BATCH0005-FEE,2026-08-03,Fees:Razorpay,-711.60,BATCH0005
GL-BATCH0005-GST,2026-08-03,GST : Fees,₹-128.09,BATCH0005
GL-BATCH0006-SR,2026-08-03,Sales : Online,39793.01,BATCH0006
GL-BATCH0006-FEE,2026-08-03,Razorpay Fees,-795.87,BATCH0006
GL-BATCH0006-GST,2026-08-03,GST on Fees (Input Credit),₹ -143.26,BATCH0006
GL-BATCH0007-SR,2026-08-04,Revenue - Sales,"INR 69,097.50",BATCH0007
GL-BATCH0007-FEE,2026-08-04,RAZORPAY-FEE,"₹ -1,381.96",BATCH0007
GL-BATCH0007-GST,2026-08-04,Input GST/Fees,INR -248.77,BATCH0007
GL-BATCH0008-SR,2026-08-05,Online Sales:Retail,"67,161.12",BATCH0008
GL-BATCH0008-FEE,2026-08-05,Fees:Razorpay,"-1,343.22",BATCH0008
GL-BATCH0008-GST,2026-08-05,GST : Fees,₹-241.79,BATCH0008
GL-BATCH0009-SR,2026-08-22,Online Sales:Retail,"INR 32,055.25",BATCH0009
GL-BATCH0009-FEE,2026-08-22,RAZORPAY-FEE,INR -647.45,BATCH0009
GL-BATCH0009-GST,2026-08-22,GST on Fees (Input Credit),INR -116.54,BATCH0009
GL-BATCH0010-SR,2026-08-11,SALES-ONLINE,"66,516.74",BATCH0010
GL-BATCH0010-FEE,2026-08-11,RAZORPAY-FEE,"₹-1,330.34",BATCH0010
GL-BATCH0010-GST,2026-08-11,Input GST/Fees,-239.45,BATCH0010
GL-BATCH0011-SR,2026-08-02,Sales/Online,27337.72,BATCH0011
